document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,selected_k,doc_topic_prior,topic_word_prior,random_state
73,extended_run_001,prt_0073_00,scn_0073,0.0050671802922,0.00506911806277,0.468249439133,0.0050657941329,0.511447780706,0.00510068767276,6,,,11
74,extended_run_001,prt_0074_00,scn_0074,0.00507636569412,0.00506677848281,0.364288115243,0.0051659784863,0.615320124372,0.00508263772184,6,,,11
75,extended_run_001,prt_0075_00,scn_0075,0.00507244618806,0.0050783272405,0.180408623948,0.200774206587,0.390197384578,0.218469011459,6,,,11
76,extended_run_001,prt_0076_00,scn_0076,0.00506630200577,0.00507258972988,0.00511033256047,0.46847326523,0.224462051624,0.29181545885,6,,,11
77,extended_run_001,prt_0077_00,scn_0077,0.113807332505,0.00510303919015,0.00507204551821,0.00507410152345,0.256516383978,0.614427097285,6,,,11
78,extended_run_001,prt_0078_00,scn_0078,0.118712578495,0.545022153299,0.0050586448415,0.0050777781118,0.321023258057,0.00510558719561,6,,,11
79,extended_run_001,prt_0079_00,scn_0079,0.118237660728,0.486295470816,0.00509274041298,0.00509815044972,0.380180244353,0.00509573324061,6,,,11
80,extended_run_001,prt_0080_00,scn_0080,0.228256917355,0.005103062981,0.0810913438211,0.00508012039022,0.241374547284,0.439094008169,6,,,11
81,extended_run_001,prt_0081_00,scn_0081,0.289599751751,0.00510377868877,0.199115642397,0.00508669098205,0.251147117713,0.249947018469,6,,,11
82,extended_run_001,prt_0082_00,scn_0082,0.188604957551,0.00509374678492,0.00505783517313,0.557543927812,0.238573722747,0.00512580993201,6,,,11
83,extended_run_001,prt_0083_00,scn_0083,0.194348563607,0.00510941285784,0.00508092715429,0.510965459645,0.279386474999,0.00510916173672,6,,,11
84,extended_run_001,prt_0084_00,scn_0084,0.00514523845513,0.682196306793,0.00505761540038,0.00508621437044,0.297419034299,0.00509559068151,6,,,11
85,extended_run_001,prt_0085_00,scn_0085,0.00510661215204,0.974574217941,0.00506150575525,0.00507848174846,0.00507574683501,0.00510343556794,6,,,11
86,extended_run_001,prt_0086_00,scn_0086,0.0051048992083,0.974573081321,0.00507770523519,0.00507758823121,0.00507671634049,0.00509000966361,6,,,11
87,extended_run_001,prt_0087_00,scn_0087,0.00511870917712,0.741336723904,0.110901468893,0.132482161336,0.0050784902064,0.00508244648388,6,,,11
88,extended_run_001,prt_0088_00,scn_0088,0.00508245426275,0.0051000794214,0.0994932713625,0.88015040274,0.00508450970425,0.00508928250882,6,,,11
89,extended_run_001,prt_0089_00,scn_0089,0.00508150004827,0.182431793181,0.00507240515486,0.797236661971,0.00508136851358,0.00509627113178,6,,,11
90,extended_run_001,prt_0090_00,scn_0090,0.00508732360642,0.00510083542143,0.00507851820212,0.974532709094,0.0050864995976,0.00511411407799,6,,,11
91,extended_run_001,prt_0091_00,scn_0091,0.0050796421286,0.760654266313,0.00509476855211,0.00508872576104,0.00508659531156,0.218996001934,6,,,11
92,extended_run_001,prt_0092_00,scn_0092,0.00507651264966,0.974572505486,0.00508244864855,0.00508215730625,0.00508676959216,0.00509960631706,6,,,11
93,extended_run_001,prt_0093_00,scn_0093,0.0050777653124,0.974556009897,0.00511096458885,0.0050786716888,0.00508758796314,0.00508900055004,6,,,11
94,extended_run_001,prt_0094_00,scn_0094,0.0050776574675,0.598708484857,0.0950643895661,0.290969649085,0.00509333571204,0.00508648331273,6,,,11
95,extended_run_001,prt_0095_00,scn_0095,0.00507511824192,0.700728031492,0.164670237981,0.119336811701,0.00508759903439,0.00510220154996,6,,,11
